Position (mm);I Torque (A);I Thrust (A);I Torque Empty (A);I Thrust Empty (A);Step (nb);Stop code;Mem Torque min (A);Mem Thrust min (A);Rotation Speed (rpm);Feed Speed (mm/s);Torque Power (W);Gap Max (mm)
-0.683;0.098;-0.023;6.445;0.269;0.000;0.000;82.000;0.000
-0.706;0.146;-0.035;6.445;0.269;0.000;0.000;86.000;0.000
-0.741;0.146;-0.047;6.445;0.269;0.000;0.000;91.000;0.000
-0.775;0.146;-0.035;6.445;0.269;0.000;0.000;95.000;0.000
-0.810;0.146;-0.047;6.445;0.269;0.000;0.000;98.000;0.000
-0.833;0.098;-0.047;6.445;0.269;0.000;0.000;101.000;0.000
-0.868;0.049;-0.047;6.445;0.269;0.000;0.000;104.000;0.000
-0.891;0.000;-0.047;6.445;0.269;0.000;0.000;107.000;0.000
-0.914;-0.049;-0.047;6.445;0.269;0.000;0.000;109.000;0.000
-0.949;-0.098;-0.047;6.445;0.269;0.000;0.000;112.000;0.000
-0.972;-0.146;-0.047;6.445;0.269;0.000;0.000;114.000;0.000
-1.007;-0.195;-0.047;6.445;0.269;0.000;0.000;116.000;0.000
-1.042;-0.195;-0.047;6.445;0.269;0.000;0.000;119.000;0.000
-1.065;-0.244;-0.047;6.445;0.269;0.000;0.000;120.000;0.000
-1.100;-0.244;-0.047;6.445;0.269;0.000;0.000;124.000;0.000
-1.123;-0.195;-0.047;6.445;0.269;0.000;0.000;126.000;0.000
-1.157;-0.195;-0.047;6.445;0.269;0.000;0.000;128.000;0.000
-1.181;-0.195;-0.047;6.445;0.269;0.000;0.000;131.000;0.000
-1.215;-0.195;-0.047;6.445;0.269;0.000;0.000;132.000;0.000
-1.238;-0.195;-0.047;6.445;0.269;0.000;0.000;134.000;0.000
-1.273;-0.195;-0.047;6.445;0.269;0.000;0.000;136.000;0.000
-1.296;-0.195;-0.047;6.445;0.269;0.000;0.000;137.000;0.000
-1.331;-0.195;-0.059;6.445;0.269;0.000;0.000;139.000;0.000
-1.354;-0.195;-0.059;6.445;0.269;0.000;0.000;140.000;0.000
-1.389;-0.195;-0.059;6.445;0.269;0.000;0.000;141.000;0.000
-1.424;-0.195;-0.059;6.445;0.269;0.000;0.000;142.000;0.000
-1.447;-0.195;-0.059;6.445;0.269;0.000;0.000;142.000;0.000
-1.470;-0.195;-0.070;6.445;0.269;0.000;0.000;143.000;0.000
-1.505;-0.195;-0.070;6.445;0.269;0.000;0.000;144.000;0.000
-1.539;-0.195;-0.070;6.445;0.269;0.000;0.000;144.000;0.000
-1.562;-0.195;-0.070;6.445;0.269;0.000;0.000;144.000;0.000
-1.597;-0.195;-0.070;6.445;0.269;0.000;0.000;144.000;0.000
-1.620;-0.195;-0.070;6.445;0.269;0.000;0.000;144.000;0.000
-1.655;-0.195;-0.082;6.445;0.269;0.000;0.000;143.000;0.000
-1.678;-0.195;-0.082;6.445;0.269;0.000;0.000;144.000;0.000
-1.713;-0.244;-0.082;6.445;0.269;0.000;0.000;143.000;0.000
-1.736;-0.244;-0.082;6.445;0.269;0.000;0.000;144.000;0.000
-1.771;-0.195;-0.094;6.445;0.269;0.000;0.000;144.000;0.000
-1.794;-0.195;-0.082;6.445;0.269;0.000;0.000;143.000;0.000
-1.829;-0.195;-0.082;6.445;0.269;0.000;0.000;143.000;0.000
-1.852;-0.244;-0.082;6.445;0.269;0.000;0.000;142.000;0.000
-1.887;-0.195;-0.082;6.445;0.269;0.000;0.000;142.000;0.000
-1.921;-0.244;-0.082;6.445;0.269;0.000;0.000;140.000;0.000
-1.944;-0.195;-0.082;6.445;0.269;0.000;0.000;141.000;0.000
-1.979;-0.195;-0.082;6.445;0.269;0.000;0.000;140.000;0.000
-2.002;-0.244;-0.082;6.445;0.269;0.000;0.000;138.000;0.000
-2.037;-0.244;-0.082;6.445;0.269;0.000;0.000;138.000;0.000
-2.060;-0.195;-0.082;6.445;0.269;0.000;0.000;138.000;0.000
