HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN680_P7_14,-0.0813749999999998,1.3329201830989954,-1,19.81,code_13,code_13
MSN680_P8_4,-0.1076749999999986,1.540116412083148,-1,21.83,code_14,code_14
MSN635_P1'_11,0.096075000000001,-1.4642289081870663,-1,16.35,code_11,code_11
MSN635_P7'_14,0.7123749999999989,-1.6368924323405272,-1,19.0,code_12,code_13
MSN660_P1'_14,-0.0544750000000005,-1.3951634985256822,-1,17.07,code_11,code_11
MSN660_P8'_3,-0.1859000000000018,-1.7059578420019117,-1,17.7,code_12,code_12
MSN663_P7'_13,-0.1722499999999986,-0.0483880101286895,-1,19.65,code_13,code_13
MSN663_P1_3,-0.2084999999999993,0.4696025623316923,-1,18.45,code_12,code_12
MSN667_P1_13,-0.2683999999999995,0.3660044478396159,1,17.18,code_11,code_11
MSN667_P7_10,0.1414499999999985,0.6077333816544608,1,15.4,code_10,code_10
MSN669_P7'_13,0.0300000000000009,1.1602566589455348,-1,19.81,code_13,code_13
MSN669_P1_12,-0.051174999999999,1.57464911691384,-1,16.92,code_11,code_11
MSN600_P8_6,-0.011074999999999,-1.7404905468326035,-1,21.14,code_14,code_14
MSN673_P1'_10,-0.2315000000000021,0.2624063333475395,1,16.13,code_11,code_11
MSN673_P8'_3,0.2979000000000007,-0.2901169439435344,-1,17.44,code_11,code_12
MSN673_P8'_4,0.1207749999999998,-0.3246496487742265,-1,21.47,code_14,code_14
MSN673_P7'_13,-0.0709249999999999,-0.0483880101286895,-1,19.76,code_13,code_13
MSN673_P1_2,-0.0763250000000004,0.6422660864851529,1,18.17,code_12,code_12
MSN677_P1'_2,-0.0885500000000019,-1.7404905468326035,1,18.0,code_12,code_12
MSN677_P8'_4,0.1853500000000001,1.0911912492841505,-1,21.4,code_14,code_14
MSN678_P1'_3,0.0478749999999992,-0.5318458777583792,-1,18.11,code_12,code_12
MSN677_P8_6,-0.1088000000000014,-1.2224999743722216,-1,21.4,code_14,code_14
MSN678_P1_1,-0.28435,-0.186518829451458,-1,18.23,code_12,code_12
MSN678_P1_12,-0.1210499999999998,-0.3246496487742265,-1,16.93,code_11,code_11
MSN680_P1'_2,0.6473000000000005,0.987593134792074,1,17.25,code_11,code_12
MSN678_P8_5,0.0459250000000016,0.2624063333475395,1,21.32,code_14,code_14
MSN680_P8'_5,0.0895500000000012,0.4696025623316923,1,21.4,code_14,code_14
MSN680_P1_12,-0.2363250000000012,1.0566585444534584,-1,17.2,code_11,code_11
MSN680_P1_14,-0.2783250000000009,1.0221258396227662,-1,17.4,code_11,code_11
MSN635_P1'_1,0.0472250000000002,-1.3606307936949902,-1,18.1,code_12,code_12
MSN635_P1_14,-0.2297000000000014,-1.326098088864298,-1,17.2,code_11,code_11
MSN660_P7'_10,-0.1485500000000007,-1.4296962033563745,1,15.47,code_10,code_10
MSN660_P7_12,0.1063999999999998,-0.739042106742532,1,19.58,code_13,code_13
MSN663_P8_3,0.1627249999999994,0.8839950202999978,-1,17.67,code_12,code_12
MSN664_P1'_4,0.4521000000000004,1.5055837072524558,-1,17.96,code_12,code_12
MSN664_P7'_14,0.2601749999999986,1.229322068606919,-1,19.53,code_13,code_13
MSN664_P8'_3,0.4866000000000011,1.0911912492841505,-1,17.2,code_11,code_12
MSN667_P8'_3,0.0874750000000006,-0.4627804680969949,-1,17.71,code_12,code_12
MSN667_P1_4,0.1043249999999988,0.2624063333475395,-1,18.15,code_12,code_12
MSN667_P1_14,0.1373499999999987,0.1588082188554632,-1,17.09,code_11,code_11
MSN667_P8_1,0.0447250000000004,0.8149296106386135,1,13.88,code_9,code_9
MSN667_P8_4,0.0736249999999986,0.676798791315845,-1,21.48,code_14,code_14
MSN600_P8'_3,0.0386500000000001,-0.9117056308959924,-1,17.7,code_12,code_12
MSN600_P1_4,-0.0897999999999987,-1.326098088864298,-1,18.1,code_12,code_12
MSN600_P7_14,0.140300000000001,-1.602359727509835,-1,20.1,code_13,code_13
MSN673_P8'_2,0.5190250000000002,-0.2555842391128423,-1,15.53,code_10,code_11
MSN673_P1_3,0.0114999999999993,0.4696025623316923,-1,18.27,code_12,code_12
MSN673_P1_14,0.159574999999999,0.3314717430089238,-1,16.71,code_11,code_11
MSN673_P8_5,0.0586999999999998,0.987593134792074,1,21.44,code_14,code_14
MSN677_P8'_2,0.161874999999998,1.1602566589455348,-1,15.8,code_10,code_11
MSN678_P8'_2,-0.0683750000000016,-0.9117056308959924,-1,15.94,code_11,code_10
MSN678_P8'_6,-0.0013999999999996,-1.015303745388069,-1,21.23,code_14,code_14
MSN678_P8_3,-0.0285499999999995,0.1933409236861553,-1,17.73,code_12,code_12
MSN680_P1'_10,-0.0648249999999996,0.953060429961382,1,15.95,code_11,code_11
MSN680_P1_1,0.0448249999999984,1.1947893637762268,-1,18.12,code_12,code_12
MSN680_P7_13,-0.0848749999999985,1.4365182975910715,-1,19.87,code_13,code_13
MSN635_P8'_2,0.082524999999999,-1.6714251371712192,-1,15.95,code_11,code_11
MSN635_P8_2,0.1537999999999978,-0.9117056308959924,-1,15.8,code_10,code_11
MSN635_P1_4,0.0227749999999998,-1.2224999743722216,-1,18.15,code_12,code_12
MSN635_P8_6,0.0522500000000008,-1.015303745388069,-1,21.2,code_14,code_14
MSN660_P7'_11,-0.0196749999999991,-1.4987616130177586,-1,17.56,code_12,code_12
MSN663_P7'_11,0.0225499999999997,-0.0829207149593816,-1,17.62,code_12,code_12
MSN663_P1_11,-0.0464249999999996,0.400537152670308,-1,16.63,code_11,code_11
MSN663_P7_11,-0.0803249999999993,0.7113314961465371,-1,17.75,code_12,code_12
MSN663_P7_12,-0.227325,0.676798791315845,1,19.74,code_13,code_13
MSN664_P8'_2,0.0030000000000003,1.1257239541148425,-1,15.68,code_10,code_10
MSN667_P7'_14,0.083575000000002,-0.3246496487742265,-1,19.68,code_13,code_13
MSN667_P1_10,-0.1171750000000013,0.400537152670308,1,16.14,code_11,code_11
MSN667_P7_11,0.2953999999999986,0.5386679719930766,-1,17.35,code_11,code_12
MSN669_P8'_4,0.2683999999999994,0.8839950202999978,-1,21.26,code_14,code_14
MSN600_P7'_12,0.1236249999999995,-1.0498364502187612,1,20.0,code_13,code_13
MSN600_P8'_5,-0.0028750000000001,-0.4282477632663028,1,21.2,code_14,code_14
MSN600_P1_3,0.0728000000000012,-1.3951634985256822,-1,18.1,code_12,code_12
MSN600_P1_2,-0.01035,-0.6354439922504556,1,18.1,code_12,code_12
MSN600_P1_12,-0.157500000000001,-1.4642289081870663,-1,17.0,code_11,code_11
MSN673_P7_11,-0.0786999999999991,0.7458642009772293,-1,17.68,code_12,code_12
MSN673_P7_14,0.2693999999999995,0.676798791315845,-1,19.37,code_13,code_13
