HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN635_P1_10,-0.167450000000001,-0.6009112874197635,1,15.85,code_10,code_10
MSN660_P7'_12,-0.0943499999999993,-1.5332943178484508,1,19.65,code_13,code_13
MSN660_P8'_1,0.1122000000000005,-1.602359727509835,1,13.73,code_9,code_9
MSN663_P1'_1,-0.0027250000000003,0.1933409236861553,-1,18.0,code_12,code_12
MSN663_P1_14,0.0640249999999993,0.3314717430089238,-1,17.1,code_11,code_11
MSN663_P8_1,0.3509250000000011,0.987593134792074,1,13.82,code_9,code_9
MSN663_P7_14,-0.1973750000000007,0.6422660864851529,-1,19.7,code_13,code_13
MSN664_P1'_3,0.2386750000000015,1.540116412083148,-1,17.88,code_12,code_12
MSN664_P8'_1,-0.0984999999999995,1.1947893637762268,1,13.75,code_9,code_9
MSN667_P1'_4,0.1202000000000006,-0.0483880101286895,-1,18.05,code_12,code_12
MSN667_P8'_4,0.0826499999999997,-0.4973131729276871,-1,21.47,code_14,code_14
MSN667_P8'_2,0.0239750000000006,-0.4282477632663028,-1,15.95,code_11,code_11
MSN667_P7_12,0.0679250000000005,0.5041352671623844,1,19.64,code_13,code_13
MSN667_P8_5,-0.0704500000000004,0.7803969058079214,1,21.37,code_14,code_14
MSN669_P1_11,-0.1744000000000009,1.6091818217445324,-1,16.56,code_11,code_11
MSN600_P1'_14,-0.2119499999999994,-1.291565384033606,-1,17.3,code_11,code_11
MSN600_P8'_1,-0.1336749999999991,-0.3937150584356107,1,14.1,code_9,code_9
MSN673_P1_1,-0.0457999999999988,0.5041352671623844,-1,18.24,code_12,code_12
MSN677_P1_2,0.0075749999999996,-1.4296962033563745,1,18.0,code_12,code_12
MSN677_P7_11,-0.2613000000000013,-1.326098088864298,-1,17.8,code_12,code_12
MSN678_P1'_13,-0.1171499999999995,-0.4627804680969949,1,17.07,code_11,code_11
MSN678_P7_12,-0.1544249999999981,-0.0138553052979974,1,19.79,code_13,code_13
MSN680_P8'_2,-0.1710000000000001,0.4350698575010002,-1,15.95,code_11,code_10
MSN680_P1_4,0.0465750000000014,1.1257239541148425,-1,18.4,code_12,code_12
MSN680_P7_10,-0.2385499999999983,1.4710510024217638,1,15.52,code_10,code_10
MSN680_P8_6,-0.1236250000000008,1.5055837072524558,-1,21.7,code_14,code_14
MSN635_P7'_10,-0.292025000000001,-0.773574811573224,1,16.8,code_11,code_11
MSN660_P1'_12,-0.0611750000000003,-1.3606307936949902,-1,16.88,code_11,code_11
MSN663_P8_5,-0.0075750000000001,0.953060429961382,1,21.32,code_14,code_14
MSN667_P1'_13,-0.2303500000000002,0.0552101043633868,1,17.04,code_11,code_11
MSN667_P1'_14,0.0025749999999997,-0.1519861246207658,-1,17.05,code_11,code_11
MSN667_P7'_13,0.1849499999999995,-0.2210515342821501,-1,19.55,code_13,code_13
MSN667_P1_12,-0.1244499999999993,0.1933409236861553,-1,17.11,code_11,code_11
MSN669_P7'_10,0.7263999999999989,1.1947893637762268,1,14.83,code_10,code_10
MSN669_P1'_13,-0.3964749999999994,1.4365182975910715,1,17.15,code_11,code_11
